"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","root"
"Cmdline:","dstat --output /opt/dstat/test.csv",,,,"Date:","14 Feb 2023 09:44:16 CST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
3.390,93.346,2.762,0.439,0.0,0.063,1609728.0,0.0,19800.0,0.0,0.0,0.0,16361.0,1790.0
7.396,84.703,6.890,0.885,0.0,0.126,3366912.0,8192.0,25116.0,0.0,0.0,0.0,16627.0,2531.0
35.619,44.381,17.333,2.540,0.0,0.127,2584576.0,4096.0,26832.0,0.0,0.0,0.0,22921.0,16475.0
59.808,26.667,10.577,2.756,0.0,0.192,9109504.0,0.0,20700.0,0.0,0.0,0.0,21064.0,12997.0
71.924,23.470,3.407,1.009,0.0,0.189,6377472.0,0.0,16920.0,0.0,0.0,0.0,19860.0,8634.0
63.608,16.392,14.051,5.696,0.0,0.253,3117056.0,0.0,13680.0,0.0,0.0,0.0,18493.0,9441.0
78.253,9.742,8.108,3.646,0.0,0.251,5550080.0,90112.0,13329.0,0.0,0.0,0.0,19390.0,8204.0
83.891,12.003,2.401,1.453,0.0,0.253,19361792.0,0.0,13860.0,0.0,0.0,0.0,17998.0,4457.0
81.916,13.863,3.718,0.378,0.0,0.126,1044480.0,0.0,15840.0,0.0,0.0,0.0,18429.0,5765.0
85.185,12.492,1.758,0.377,0.0,0.188,5189632.0,0.0,12696.0,0.0,0.0,0.0,18432.0,5901.0
81.687,15.670,2.266,0.315,0.0,0.063,1044480.0,0.0,11532.0,0.0,0.0,0.0,18994.0,6640.0
73.661,18.589,5.545,1.827,0.0,0.378,3788800.0,581632.0,9867.0,0.0,0.0,0.0,17953.0,5303.0
71.698,22.201,4.843,1.069,0.0,0.189,1716224.0,0.0,14391.0,0.0,0.0,0.0,18410.0,5839.0
49.717,34.676,11.076,4.279,0.0,0.252,9953280.0,0.0,9720.0,0.0,0.0,0.0,17181.0,6804.0
51.519,14.620,28.481,5.127,0.0,0.253,4677632.0,0.0,10080.0,0.0,0.0,0.0,16819.0,9812.0
18.050,19.434,50.943,11.384,0.0,0.189,3923968.0,0.0,13680.0,0.0,0.0,0.0,11915.0,6268.0
20.624,11.776,57.352,10.121,0.0,0.127,13328384.0,4096.0,16746.0,0.0,0.0,0.0,14910.0,16109.0
14.196,2.208,71.356,12.114,0.0,0.126,6541312.0,4096.0,16845.0,0.0,0.0,0.0,8485.0,8564.0
13.266,2.653,72.394,11.497,0.0,0.190,7274496.0,0.0,15582.0,0.0,0.0,0.0,8725.0,9236.0
10.656,4.288,72.825,11.917,0.0,0.315,5378048.0,0.0,16302.0,0.0,0.0,0.0,8365.0,7765.0
15.264,16.834,58.354,9.359,0.0,0.188,6168576.0,0.0,13146.0,0.0,0.0,0.0,10413.0,6361.0
34.349,6.540,46.984,11.873,0.0,0.254,5931008.0,4233728.0,16479.0,0.0,0.0,0.0,14353.0,11541.0
19.684,3.861,63.418,12.848,0.0,0.190,10641408.0,0.0,20043.0,0.0,0.0,0.0,11990.0,12039.0
7.707,4.675,76.184,11.244,0.0,0.190,3391488.0,119296.0,25563.0,0.0,0.0,0.0,10497.0,11044.0
3.455,1.884,85.616,8.920,0.0,0.126,3272704.0,50688.0,14040.0,0.0,0.0,0.0,3875.0,2923.0
2.266,1.259,86.658,9.692,0.0,0.126,2220032.0,0.0,10536.0,0.0,0.0,0.0,2948.0,2151.0
0.251,0.313,87.281,12.030,0.0,0.125,1396736.0,190976.0,9597.0,0.0,0.0,0.0,1709.0,1445.0
2.323,2.516,82.323,12.710,0.0,0.129,6004736.0,29696.0,9816.0,0.0,0.0,0.0,5266.0,6207.0
2.962,3.413,78.042,15.325,0.0,0.258,2740224.0,34304.0,10260.0,0.0,0.0,0.0,5482.0,5593.0
3.908,3.716,79.628,12.620,0.0,0.128,4345856.0,0.0,11340.0,0.0,0.0,0.0,5555.0,6092.0
1.952,2.204,85.705,10.013,0.0,0.126,3399680.0,0.0,9096.0,0.0,0.0,0.0,2971.0,2585.0
7.248,1.732,84.092,6.735,0.0,0.192,1081344.0,20480.0,6225.0,0.0,0.0,0.0,3616.0,2606.0
6.713,2.090,84.294,6.903,0.0,0.0,3088896.0,16384.0,5643.0,0.0,0.0,0.0,3605.0,2162.0
3.202,1.130,88.512,7.094,0.0,0.063,1808896.0,172032.0,13947.0,0.0,0.0,0.0,3919.0,3521.0
5.339,2.701,85.490,6.470,0.0,0.0,4128768.0,0.0,10356.0,0.0,0.0,0.0,4563.0,3785.0
7.461,1.881,83.323,7.210,0.0,0.125,2310144.0,352256.0,12072.0,0.0,0.0,0.0,4227.0,2566.0
3.757,2.066,85.410,8.704,0.0,0.063,6594560.0,258560.0,13776.0,0.0,0.0,0.0,3822.0,2498.0
1.501,2.126,87.555,8.693,0.0,0.125,2625536.0,142336.0,15363.0,0.0,0.0,0.0,3098.0,2154.0
7.179,2.582,82.809,7.305,0.0,0.126,3026944.0,0.0,13806.0,0.0,0.0,0.0,5798.0,5553.0
7.031,1.883,83.365,7.721,0.0,0.0,1202688.0,83968.0,12069.0,0.0,0.0,0.0,4496.0,3239.0
6.696,1.832,83.828,7.454,0.0,0.190,3912704.0,232960.0,13329.0,0.0,0.0,0.0,5749.0,5334.0
1.190,0.627,87.531,10.526,0.0,0.125,9904128.0,270336.0,11616.0,0.0,0.0,0.0,3145.0,2884.0
3.972,2.498,82.511,10.890,0.0,0.128,4308992.0,16384.0,14496.0,0.0,0.0,0.0,6919.0,7855.0
0.376,0.438,93.112,6.011,0.0,0.063,430080.0,60928.0,17556.0,0.0,0.0,0.0,2108.0,1481.0
0.188,0.877,94.549,4.198,0.0,0.188,1003520.0,0.0,18360.0,0.0,0.0,0.0,2697.0,2633.0
0.063,0.500,94.246,5.128,0.0,0.063,372736.0,0.0,15300.0,0.0,0.0,0.0,1560.0,1316.0
0.063,0.313,95.494,4.005,0.0,0.125,536576.0,0.0,12060.0,0.0,0.0,0.0,1401.0,1182.0
0.125,0.375,93.562,5.875,0.0,0.062,307200.0,0.0,10260.0,0.0,0.0,0.0,1382.0,1218.0
0.063,0.376,95.053,4.446,0.0,0.063,507904.0,0.0,8280.0,0.0,0.0,0.0,1444.0,1296.0
0.125,0.438,94.681,4.756,0.0,0.0,716800.0,0.0,10896.0,0.0,0.0,0.0,1673.0,1523.0
0.125,0.250,95.059,4.565,0.0,0.0,503808.0,0.0,10536.0,0.0,0.0,0.0,1392.0,1306.0
0.126,0.314,92.143,7.417,0.0,0.0,1282048.0,6339072.0,9096.0,0.0,0.0,0.0,1668.0,1471.0
0.251,1.194,92.646,5.783,0.0,0.126,6381568.0,1380864.0,6660.0,0.0,0.0,0.0,3726.0,5080.0
0.190,0.758,93.999,4.864,0.0,0.190,15495168.0,1536.0,4956.0,0.0,0.0,0.0,1788.0,1517.0
0.882,0.693,92.632,5.605,0.0,0.189,532480.0,231424.0,7200.0,0.0,0.0,0.0,2320.0,2338.0
0.188,0.438,93.938,5.250,0.0,0.188,593920.0,0.0,8640.0,0.0,0.0,0.0,1412.0,1303.0
0.065,0.389,96.308,3.044,0.0,0.194,618496.0,575488.0,9900.0,0.0,0.0,0.0,1212.0,1273.0
0.063,0.250,93.996,5.503,0.0,0.188,688128.0,41472.0,12600.0,0.0,0.0,0.0,1298.0,1291.0
0.062,0.436,94.085,5.293,0.0,0.125,2330624.0,29184.0,14268.0,0.0,0.0,0.0,1247.0,1291.0
0.196,3.658,90.660,5.356,0.0,0.131,1208320.0,0.0,13458.0,0.0,0.0,0.0,2700.0,2492.0
4.0,6.733,83.067,5.867,0.0,0.333,1241088.0,0.0,10536.0,0.0,0.0,0.0,7981.0,4190.0
0.125,0.313,93.992,5.569,0.0,0.0,569344.0,0.0,13722.0,0.0,0.0,0.0,1563.0,1325.0
0.503,1.825,91.756,5.601,0.0,0.315,540672.0,0.0,9900.0,0.0,0.0,0.0,4875.0,6792.0
0.063,0.564,93.605,5.643,0.0,0.125,2437120.0,154112.0,12420.0,0.0,0.0,0.0,2231.0,1927.0
0.063,0.564,94.612,4.574,0.0,0.188,1052672.0,0.0,15246.0,0.0,0.0,0.0,1867.0,1609.0
0.125,0.438,93.867,5.569,0.0,0.0,540672.0,165376.0,13500.0,0.0,0.0,0.0,1511.0,1431.0
0.063,0.250,93.871,5.754,0.0,0.063,2695168.0,133632.0,11712.0,0.0,0.0,0.0,1449.0,1212.0
0.188,0.377,93.844,5.528,0.0,0.063,643072.0,8192.0,9816.0,0.0,0.0,0.0,1650.0,1456.0
0.125,0.375,93.695,5.743,0.0,0.062,528384.0,0.0,9666.0,0.0,0.0,0.0,1410.0,1238.0
0.690,0.376,93.287,5.583,0.0,0.063,4816896.0,0.0,9681.0,0.0,0.0,0.0,1777.0,1402.0
0.063,0.502,93.350,6.023,0.0,0.063,1314816.0,9216.0,10260.0,0.0,0.0,0.0,1591.0,1447.0
0.125,0.374,93.637,5.739,0.0,0.125,954368.0,45056.0,10260.0,0.0,0.0,0.0,1489.0,1304.0
0.125,0.438,93.750,5.500,0.0,0.188,606208.0,65536.0,7020.0,0.0,0.0,0.0,1529.0,1377.0
0.063,0.376,94.479,5.082,0.0,0.0,471040.0,81920.0,4680.0,0.0,0.0,81920.0,1226.0,1235.0
0.188,0.502,94.350,4.896,0.0,0.063,442368.0,0.0,6723.0,0.0,0.0,0.0,1636.0,1851.0
0.062,0.312,94.438,5.188,0.0,0.0,360448.0,0.0,14052.0,0.0,0.0,0.0,1415.0,1317.0
0.0,0.250,93.992,5.695,0.0,0.063,294912.0,81920.0,9000.0,0.0,0.0,0.0,1254.0,1180.0
0.125,0.313,93.863,5.698,0.0,0.0,348160.0,4096.0,13626.0,0.0,0.0,0.0,1494.0,1385.0
0.063,0.313,93.484,6.078,0.0,0.063,2641920.0,0.0,12600.0,0.0,0.0,0.0,1839.0,1846.0
0.063,0.314,93.664,5.897,0.0,0.063,163840.0,0.0,14040.0,0.0,0.0,0.0,1887.0,2132.0
0.062,0.188,93.688,6.062,0.0,0.0,180224.0,0.0,14040.0,0.0,0.0,0.0,1184.0,1097.0
0.063,0.251,94.981,4.642,0.0,0.063,221184.0,4766720.0,11520.0,0.0,0.0,0.0,1117.0,1150.0
0.694,1.389,91.982,5.745,0.0,0.189,507904.0,70656.0,11256.0,0.0,0.0,0.0,5114.0,7474.0
0.504,0.756,92.817,5.923,0.0,0.0,524288.0,20480.0,8652.0,0.0,0.0,0.0,2449.0,2841.0
0.063,0.314,93.597,5.964,0.0,0.063,307200.0,26624.0,7740.0,0.0,0.0,0.0,1610.0,1577.0
0.316,0.569,93.300,5.752,0.0,0.063,503808.0,18944.0,9687.0,0.0,0.0,0.0,1860.0,1957.0
0.125,0.250,93.629,5.934,0.0,0.062,286720.0,33792.0,17757.0,0.0,0.0,0.0,1249.0,1170.0
0.063,0.251,93.668,5.956,0.0,0.063,364544.0,893440.0,12780.0,0.0,0.0,0.0,1357.0,1399.0
0.062,0.312,94.062,5.562,0.0,0.0,475136.0,22016.0,10260.0,0.0,0.0,0.0,1172.0,1240.0
0.251,0.439,93.726,5.521,0.0,0.063,548864.0,0.0,7740.0,0.0,0.0,0.0,1471.0,1695.0
0.252,0.692,93.203,5.790,0.0,0.063,487424.0,0.0,5316.0,0.0,0.0,0.0,2274.0,3029.0
0.062,0.437,94.386,5.053,0.0,0.062,479232.0,4096.0,4596.0,0.0,0.0,0.0,1198.0,1313.0
0.063,0.250,93.738,5.949,0.0,0.0,270336.0,0.0,4056.0,0.0,0.0,0.0,1029.0,1127.0
0.126,0.439,93.660,5.775,0.0,0.0,299008.0,101376.0,7011.0,0.0,0.0,0.0,1434.0,1512.0
0.378,0.315,94.332,4.849,0.0,0.126,655360.0,32768.0,3906.0,0.0,0.0,0.0,1174.0,1346.0
0.0,0.125,94.066,5.746,0.0,0.062,434176.0,0.0,7011.0,0.0,0.0,0.0,1049.0,1122.0
0.125,0.438,93.809,5.503,0.0,0.125,7053312.0,436736.0,10758.0,0.0,0.0,0.0,1509.0,1377.0
0.063,0.250,94.118,5.444,0.0,0.125,761856.0,36352.0,13671.0,0.0,0.0,0.0,1410.0,1392.0
0.063,0.439,93.852,5.521,0.0,0.125,647168.0,0.0,13767.0,0.0,0.0,0.0,1540.0,1498.0
0.125,0.625,94.441,4.685,0.0,0.125,880640.0,74240.0,17261.0,3048.0,0.0,0.0,2504.0,2787.0
0.0,0.376,93.672,5.764,0.0,0.188,585728.0,0.0,15312.0,0.0,0.0,0.0,1520.0,1438.0
0.125,0.250,94.622,4.941,0.0,0.063,565248.0,170496.0,12420.0,0.0,0.0,0.0,1250.0,1304.0
0.251,0.690,94.044,4.890,0.0,0.125,675840.0,25600.0,13140.0,0.0,0.0,0.0,2032.0,2293.0
0.251,1.066,92.853,5.643,0.0,0.188,589824.0,0.0,12006.0,0.0,0.0,0.0,3674.0,5074.0
0.126,0.439,94.852,4.520,0.0,0.063,565248.0,0.0,7920.0,0.0,0.0,0.0,1471.0,1764.0
0.062,0.500,93.816,5.434,0.0,0.187,684032.0,0.0,8820.0,0.0,0.0,0.0,1368.0,1389.0
0.125,0.627,94.796,4.263,0.0,0.188,1036288.0,16384.0,9996.0,0.0,0.0,0.0,1503.0,1492.0
0.188,1.001,93.930,4.693,0.0,0.188,1003520.0,90112.0,11076.0,0.0,0.0,0.0,1723.0,1798.0
0.376,0.439,93.726,5.332,0.0,0.125,1724416.0,0.0,11796.0,0.0,0.0,0.0,1480.0,1369.0
0.314,0.377,93.962,5.283,0.0,0.063,753664.0,0.0,11160.0,0.0,0.0,0.0,1390.0,1413.0
0.251,0.251,93.981,5.517,0.0,0.0,401408.0,0.0,8376.0,0.0,0.0,0.0,1012.0,1118.0
0.188,0.313,93.981,5.517,0.0,0.0,532480.0,4114944.0,8427.0,0.0,0.0,0.0,1187.0,1202.0
0.313,0.251,93.605,5.831,0.0,0.0,638976.0,0.0,5637.0,0.0,0.0,0.0,1221.0,1256.0
0.314,0.565,93.723,5.399,0.0,0.0,929792.0,0.0,3960.0,0.0,0.0,0.0,1447.0,1547.0
0.250,0.939,93.300,5.448,0.0,0.063,884736.0,84480.0,8346.0,0.0,0.0,0.0,2264.0,2776.0
0.125,0.501,93.922,5.451,0.0,0.0,1011712.0,0.0,8358.0,0.0,0.0,0.0,1508.0,1556.0
0.125,0.688,95.557,3.630,0.0,0.0,1163264.0,304640.0,9066.0,0.0,0.0,0.0,1671.0,1935.0
0.125,0.501,93.926,5.448,0.0,0.0,753664.0,8192.0,8148.0,120.0,0.0,0.0,1501.0,1499.0
0.125,0.313,93.793,5.705,0.0,0.063,581632.0,156672.0,9644.0,120.0,0.0,0.0,1285.0,1233.0
0.063,0.377,93.723,5.838,0.0,0.0,344064.0,33792.0,13608.0,0.0,0.0,0.0,1870.0,1782.0
0.188,0.627,93.162,5.960,0.0,0.063,970752.0,0.0,15450.0,0.0,0.0,0.0,2367.0,2805.0
0.947,0.442,93.245,5.366,0.0,0.0,1519616.0,0.0,15063.0,0.0,0.0,0.0,1777.0,1496.0
0.125,0.376,93.981,5.517,0.0,0.0,2097152.0,0.0,15852.0,0.0,0.0,0.0,1679.0,1413.0
0.629,1.006,93.459,4.780,0.0,0.126,933888.0,98816.0,13596.0,0.0,0.0,0.0,3631.0,4298.0
0.125,0.313,95.679,3.882,0.0,0.0,503808.0,0.0,12708.0,0.0,0.0,0.0,1348.0,1225.0
0.0,0.188,94.552,5.260,0.0,0.0,356352.0,134144.0,8460.0,0.0,0.0,0.0,1108.0,1111.0
0.125,0.188,94.424,5.263,0.0,0.0,430080.0,123392.0,8196.0,0.0,0.0,0.0,1322.0,1222.0
0.125,0.313,94.305,5.257,0.0,0.0,552960.0,0.0,9000.0,0.0,0.0,0.0,1366.0,1244.0
0.063,0.188,93.989,5.761,0.0,0.0,335872.0,0.0,11520.0,0.0,0.0,0.0,1497.0,1310.0
0.0,0.313,94.424,5.263,0.0,0.0,438272.0,58368.0,11931.0,1339.0,0.0,0.0,1574.0,1530.0
0.0,0.188,97.562,2.250,0.0,0.0,421888.0,0.0,10800.0,0.0,0.0,0.0,1276.0,1147.0
0.063,0.251,97.995,1.692,0.0,0.0,671744.0,156160.0,8640.0,0.0,0.0,0.0,1248.0,1243.0
0.0,0.313,93.809,5.879,0.0,0.0,520192.0,37888.0,5136.0,0.0,0.0,0.0,1180.0,1135.0
0.0,0.125,93.871,6.004,0.0,0.0,446464.0,0.0,4500.0,0.0,0.0,0.0,1152.0,1242.0
0.063,0.375,93.429,6.070,0.0,0.063,450560.0,0.0,3828.0,60.0,0.0,0.0,1487.0,1865.0
0.0,0.188,93.793,6.019,0.0,0.0,483328.0,0.0,3060.0,0.0,0.0,0.0,1069.0,1195.0
0.0,0.250,93.754,5.996,0.0,0.0,380928.0,0.0,6126.0,0.0,0.0,0.0,1056.0,1157.0
0.125,0.250,93.558,6.066,0.0,0.0,364544.0,0.0,5367.0,0.0,0.0,0.0,1325.0,1466.0
0.126,0.314,93.467,5.967,0.0,0.126,397312.0,0.0,9435.0,0.0,0.0,0.0,1397.0,1736.0
0.063,0.188,93.797,5.952,0.0,0.0,323584.0,0.0,6936.0,0.0,0.0,0.0,1149.0,1185.0
0.063,0.376,93.852,5.709,0.0,0.0,450560.0,0.0,10830.0,0.0,0.0,0.0,1397.0,1430.0
0.063,0.315,95.343,4.279,0.0,0.0,253952.0,4747264.0,10449.0,0.0,0.0,0.0,1422.0,1299.0
0.062,0.499,93.571,5.805,0.0,0.062,413696.0,401408.0,11700.0,0.0,0.0,0.0,1581.0,1620.0
0.380,1.202,92.979,5.313,0.0,0.127,524288.0,0.0,16020.0,0.0,0.0,0.0,4086.0,5415.0
0.126,0.693,93.825,5.293,0.0,0.063,610304.0,63488.0,13296.0,0.0,0.0,0.0,2253.0,1952.0
0.944,0.818,92.637,5.286,0.0,0.315,528384.0,30208.0,15480.0,0.0,0.0,0.0,2830.0,2959.0
0.063,0.250,93.738,5.949,0.0,0.0,421888.0,92672.0,12036.0,0.0,0.0,0.0,1445.0,1273.0
0.189,0.378,93.644,5.664,0.0,0.126,368640.0,428032.0,13767.0,0.0,0.0,0.0,1595.0,1621.0
0.063,0.313,93.742,5.882,0.0,0.0,876544.0,0.0,8112.0,0.0,0.0,0.0,1310.0,1194.0
0.125,0.689,93.484,5.639,0.0,0.063,593920.0,148992.0,9180.0,0.0,0.0,0.0,1727.0,1693.0
0.252,0.818,93.711,5.157,0.0,0.063,479232.0,30208.0,7740.0,0.0,0.0,0.0,2344.0,2670.0
0.063,0.375,93.746,5.754,0.0,0.063,479232.0,16384.0,9900.0,0.0,0.0,0.0,1545.0,1338.0
0.125,0.313,93.621,5.879,0.0,0.063,335872.0,12288.0,10980.0,0.0,0.0,0.0,1526.0,1418.0
0.126,0.759,93.236,5.752,0.0,0.126,430080.0,78336.0,8469.0,0.0,0.0,0.0,1743.0,1629.0
0.063,0.313,95.184,4.378,0.0,0.063,536576.0,0.0,5229.0,0.0,0.0,0.0,1329.0,1218.0
0.376,0.564,93.668,5.329,0.0,0.063,307200.0,150016.0,4563.0,0.0,0.0,0.0,1541.0,1469.0
3.562,1.527,92.239,2.608,0.0,0.064,2080768.0,132096.0,8964.0,0.0,0.0,0.0,3275.0,2616.0
4.398,3.558,89.651,2.264,0.0,0.129,38344192.0,470016.0,4140.0,0.0,0.0,114688.0,5706.0,5764.0
1.637,1.071,93.892,3.275,0.0,0.126,33948672.0,183808.0,3780.0,0.0,0.0,0.0,3072.0,3669.0
0.250,0.564,93.989,5.072,0.0,0.125,724992.0,90112.0,4551.0,1339.0,0.0,0.0,1968.0,2205.0
0.628,1.319,93.405,4.523,0.0,0.126,638976.0,0.0,4689.0,0.0,0.0,0.0,2842.0,3487.0
